backen<br/>{{c1::bäckt (backt)}}<br/>{{c1::backte (buk)}}<br/>{{c1::hat gebacken}}	<b>Sie <em>hat</em> den Kuchen in einer runden Form <em>gebacken</em>.</b><br/>She baked the cake in a round mould.
befehlen<br/>{{c1::befiehlt}}<br/>{{c1::befahl}}<br/>{{c1::hat befohlen}}	<b>Der Feldwebel <em>befahl</em> der Truppe, zu marschieren.</b><br/>The sergeant commanded the troop to march.
beginnen<br/>{{c1::beginnt}}<br/>{{c1::begann}}<br/>{{c1::hat begonnen}}	<b>Wir <em>beginnen</em> morgen mit dem neuen Projekt.</b><br/>We will begin with the new project tomorrow.<br/><br/><b>Das Konzert <em>begann</em> mit einem wunderschönen Klavierstück.</b><br/>The concert began with a beautiful piano piece.<br/><br/><b>Die Wehen <em>haben begonnen</em>, bald kommt das Baby.</b><br/>The contractions have set in, the baby will arrive soon.
beißen<br/>{{c1::beißt}}<br/>{{c1::biss}}<br/>{{c1::hat gebissen}}	<b>Du kannst den Hund streicheln; er wird dich nicht <em>beißen</em>.</b><br/>You can pet the dog; it will not bite you.<br/><br/><b>Ich <em>biss</em> in einen sauren Apfel und verzog das Gesicht.</b><br/>I bit into a sour apple and grimaced.
bergen<br/>{{c1::birgt}}<br/>{{c1::barg}}<br/>{{c1::hat geborgen}}	<b>Die Küstenwache hat die Mannschaft von dem havarierten Schiff <em>geborgen</em>.</b><br/>The coastguard rescued the crew from the wrecked ship.<br/><br/><b>Dunkle Höhlen können viele Geheimnisse <em>bergen</em>.</b><br/>Dark caves can hide many secrets.<br/><br/><b>Es gelang der Crew, das auf Grund gelaufene Schiff zu <em>bergen</em>.</b><br/>The crew managed to salvage the ship that had run aground.
bersten<br/>{{c1::birst}}<br/>{{c1::barst}}<br/>{{c1::ist geborsten}}	<b>Wenn Wasser in Leitungen gefriert, können die Leitungen <em>bersten</em>.</b><br/>When the water in pipes freezes, the pipes can burst.<br/><br/><b>Das Glas <em>barst</em> in tausend Stücke, als es auf den Boden fiel.</b><br/>The glass shattered into a thousand pieces when it fell to the floor.<br/><br/><b>Der Damm <em>ist</em> unter dem starken Wasserdruck <em>geborsten</em>.</b><br/>The dam has burst under the strong water pressure.
betrügen<br/>{{c1::betrügt}}<br/>{{c1::betrog}}<br/>{{c1::hat betrogen}}	<b>Mein Bruder <em>betrügt</em> nie, wenn wir Karten spielen.</b><br/>My brother never cheats when we play cards<br/><br/><b>Er <em>betrog</em> seine Klienten und stahl ihr Geld.</b><br/>He defrauded his clients and stole their money.<br/><br/><b>Mein Freund <em>hat</em> mich nie <em>betrogen</em>; er ist mir treu.</b><br/>My boyfriend never cheated on me; he is faithful to me.
bewegen<br/>{{c1::bewegt}}<br/>{{c1::bewog}}<br/>{{c1::hat bewogen}}	<b>Die Tänzerin <em>bewegte</em> anmutig die Arme.</b><br/>The dancer moved her arms gracefully.<br/><br/><b>Gemeinsam können wir im Umweltschutz etwas <em>bewegen</em>.</b><br/>Together we can make a difference in environmental protection.<br/><br/><b>Beide Zwillinge sprechen und <em>bewegen sich</em> auf ähnliche Art.</b><br/>Both twins talk and move in a similar fashion.
biegen<br/>{{c1::biegt}}<br/>{{c1::bog}}<br/>{{c1::hat gebogen}}	<b>Wenn ich einen Stock zu stark <em>biege</em>, bricht er.</b><br/>If I bend a stick too much, it will break.<br/><br/><b>An der Kreuzung ist das Fahrzeug in die Schillerstraße <em>abgebogen</em>.</b><br/>At the intersection, the vehicle turned into Schillerstrasse.
bieten<br/>{{c1::bietet}}<br/>{{c1::bot}}<br/>{{c1::hat geboten}}	<b>Das neue Museum hat für jeden etwas zu <em>bieten</em>.</b><br/>The new museum has something to offer for everybody.
binden<br/>{{c1::bindet}}<br/>{{c1::band}}<br/>{{c1::hat gebunden}}	<b>Ich muss meine Abschlußarbeit vor dem Einreichen <em>binden</em>.</b><br/>I need to bind my thesis before submitting it.<br/><br/><b>Wir <em>haben</em> ein rotes Band um die Schachtel <em>gebunden</em>.</b><br/>We tied a red ribbon around the box.
bitten<br/>{{c1::bittet}}<br/>{{c1::bat}}<br/>{{c1::hat gebeten}}	<b>Der Arzt <em>bat</em> um eine Probe.</b><br/>The doctor asked for a specimen.<br/><br/><b>Der Kunde <em>bat</em> um weitere Produktinformationen.</b><br/>The customer requested further product information.<br/><br/><b>Ich <em>habe</em> ihn um Hilfe <em>gebeten</em>.</b><br/>I have asked him for help.
blasen<br/>{{c1::bläst}}<br/>{{c1::blies}}<br/>{{c1::hat geblasen}}	<b>Heute <em>bläst</em> der Wind sehr stark.</b><br/>Today, the wind is blowing very strongly.<br/><br/><b>Der Sturm <em>blies</em> alle Blätter vom Baum.</b><br/>The storm blew all the leaves off the tree.<br/><br/><b>Sie <em>hat</em> die Kerzen auf der Torte <em>geblasen</em>.</b><br/>She has blown out the candles on the cake.
bleiben<br/>{{c1::bleibt}}<br/>{{c1::blieb}}<br/>{{c1::ist geblieben}}	<b>Ich <em>blieb</em> den ganzen Tag zu Hause.</b><br/>I stayed home all day.<br/><br/><b>Martin Weber <em>ist</em> den ganzen Winter durch im Haus <em>geblieben</em>.</b><br/>Martin Weber stayed in the house throughout the winter.
braten<br/>{{c1::brät}}<br/>{{c1::briet}}<br/>{{c1::hat gebraten}}	<b>Ich werde die Eier verrühren und danach <em>braten</em>.</b><br/>I am going to scramble the eggs and then fry them.<br/><br/><b>Er <em>briet</em> das Lammsteak im Ofen.</b><br/>He roasted the lamb steak in the oven.<br/><br/><b>Sie <em>hat</em> das Gemüse in Olivenöl <em>gebraten</em>.</b><br/>She fried the vegetables in olive oil.
brechen<br/>{{c1::bricht}}<br/>{{c1::brach}}<br/>{{c1::hat gebrochen}}	<b>Ich <em>habe</em> mir den Arm <em>gebrochen</em>, aber es ist wieder komplett verheilt.</b><br/>I broke my arm, but it has healed completely.<br/><br/><b>Der Zaun <em>ist gebrochen</em>.</b><br/>The fence is broken.
brennen<br/>{{c1::brennt}}<br/>{{c1::brannte}}<br/>{{c1::hat gebrannt}}	<b>Das Lagerfeuer <em>brennt</em> seit zwei Stunden.</b><br/>The bonfire has been burning for two hours.<br/><br/><b>Das Shampoo <em>brannte</em> in meinen Augen.</b><br/>The shampoo stung my eyes.<br/><br/><b>Der Kratzer auf meinem Arm <em>brennt</em> ein bisschen.</b><br/>The scratch I have on my arm smarts a little.
abbrennen<br/>{{c1::brennt ab}}<br/>{{c1::brannte ab}}<br/>{{c1::ist abgebrannt}}	<b>Das Haus <em>ist</em> vollständig <em>abgebrannt</em>.</b><br/>The house completely burned down.
bringen<br/>{{c1::bringt}}<br/>{{c1::brachte}}<br/>{{c1::hat gebracht}}	<b>Die Wolken werden Regen <em>bringen</em>.</b><br/>The clouds will bring rain.<br/><br/><b>Er bot seinem Freund an, ihn nach Hause zu <em>bringen</em>.</b><br/>He offered to take his friend home.<br/><br/><b>Regelmäßiges Training <em>bringt</em> Wohlbefinden und Fitness.</b><br/>Constant exercise yields well-being and fitness.<br/><br/><b>Der Hund <em>brachte</em> den Ball.</b><br/>The dog fetched the ball.
denken<br/>{{c1::denkt}}<br/>{{c1::dachte}}<br/>{{c1::hat gedacht}}	<b>Ich <em>denke</em>, wir sollten etwas essen.</b><br/>I think we should eat something.<br/><br/><b>Ich <em>dachte</em>, dass das Meeting um acht Uhr war.</b><br/>I thought the meeting was at eight o'clock.<br/><br/><b>Ich muss daran <em>denken</em>, das Fenster zu schließen.</b><br/>I have to remember to close the window.<br/><br/><b>Ich <em>denke</em>, dass ich vielleicht eine Beförderung bekomme.</b><br/>I figure that I might get a promotion.
